type,ob_date,bos_date,entry_date,entry,stop,R,outcome_R
Bullish,2025-08-11,2025-08-13,2025-08-22,227.55,224.76,2.7900000000000205,-1.0
Bullish,2025-08-11,2025-08-14,2025-08-22,227.55,224.76,2.7900000000000205,-1.0
Bullish,2025-08-29,2025-09-03,2025-09-12,232.325,231.37,0.9549999999999841,1.5
Bullish,2025-08-29,2025-09-04,2025-09-12,232.325,231.37,0.9549999999999841,1.5
Bullish,2025-08-29,2025-09-05,2025-09-12,232.325,231.37,0.9549999999999841,1.5
Bullish,2025-09-30,2025-10-01,2025-10-02,254.7425,253.11,1.6324999999999932,0.5
Bullish,2025-10-30,2025-10-31,2025-11-11,271.695,268.48,3.214999999999975,0.5
Bullish,2025-11-07,2025-11-10,2025-11-21,269.13250000000005,266.77,2.362500000000068,1.5
Bullish,2025-11-07,2025-11-11,2025-11-21,269.13250000000005,266.77,2.362500000000068,1.5
Bullish,2025-11-12,2025-11-13,2025-11-24,274.235,271.7,2.535000000000025,1.5
