type,ob_date,bos_date,ob_open,ob_close,ob_high,ob_low
Bullish,2025-08-05,2025-08-06,203.4,202.92,205.34,202.16
Bullish,2025-08-05,2025-08-07,203.4,202.92,205.34,202.16
Bullish,2025-08-05,2025-08-08,203.4,202.92,205.34,202.16
Bullish,2025-08-11,2025-08-13,227.92,227.18,229.56,224.76
Bullish,2025-08-11,2025-08-14,227.92,227.18,229.56,224.76
Bearish,2025-08-13,2025-08-20,231.07,233.33,235.0,230.43
Bearish,2025-08-13,2025-08-21,231.07,233.33,235.0,230.43
Bullish,2025-08-29,2025-09-03,232.51,232.14,233.38,231.37
Bullish,2025-08-29,2025-09-04,232.51,232.14,233.38,231.37
Bullish,2025-08-29,2025-09-05,232.51,232.14,233.38,231.37
Bearish,2025-09-04,2025-09-10,238.45,239.78,239.8999,236.74
Bullish,2025-09-18,2025-09-19,239.97,237.88,241.2,236.65
Bullish,2025-09-18,2025-09-22,239.97,237.88,241.2,236.65
Bullish,2025-09-18,2025-09-23,239.97,237.88,241.2,236.65
Bullish,2025-09-24,2025-09-26,255.22,252.31,255.74,251.04
Bullish,2025-09-30,2025-10-01,254.855,254.63,255.919,253.11
Bullish,2025-09-30,2025-10-03,254.855,254.63,255.919,253.11
Bearish,2025-10-08,2025-10-09,256.52,258.06,258.52,256.11
Bearish,2025-10-08,2025-10-10,256.52,258.06,258.52,256.11
Bullish,2025-10-16,2025-10-17,248.25,247.45,249.04,245.13
Bullish,2025-10-16,2025-10-20,248.25,247.45,249.04,245.13
Bullish,2025-10-16,2025-10-21,248.25,247.45,249.04,245.13
Bullish,2025-10-23,2025-10-27,259.94,259.58,260.62,258.0101
Bullish,2025-10-23,2025-10-28,259.94,259.58,260.62,258.0101
Bullish,2025-10-23,2025-10-29,259.94,259.58,260.62,258.0101
Bullish,2025-10-23,2025-10-30,259.94,259.58,260.62,258.0101
Bullish,2025-10-30,2025-10-31,271.99,271.4,274.14,268.48
Bearish,2025-10-29,2025-11-03,269.275,269.7,271.41,267.11
Bearish,2025-11-06,2025-11-07,267.89,269.77,273.4,267.89
Bullish,2025-11-07,2025-11-10,269.795,268.47,272.29,266.77
Bullish,2025-11-07,2025-11-11,269.795,268.47,272.29,266.77
Bullish,2025-11-12,2025-11-13,275.0,273.47,275.73,271.7
Bearish,2025-11-14,2025-11-17,271.05,272.41,275.96,269.6
Bearish,2025-11-14,2025-11-18,271.05,272.41,275.96,269.6
Bullish,2025-11-20,2025-11-24,270.83,266.25,275.43,265.92
Bullish,2025-11-20,2025-11-25,270.83,266.25,275.43,265.92
Bullish,2025-11-20,2025-12-01,270.83,266.25,275.43,265.92
Bullish,2025-11-20,2025-12-02,270.83,266.25,275.43,265.92
Bullish,2025-11-20,2025-12-03,270.83,266.25,275.43,265.92
Bearish,2025-12-10,2025-12-11,277.75,278.78,279.75,276.44
